6.71,500,4.56,26.46,1.25,61.02,1.2,28.23,11,2.15,25.902,141.29,76,317,0.59122,0.12807,0.47641,9.122,0,0.3,0.21,2.38,0.26676,0.11463,71,28.22,12.317,60.317,0.10049,15,37.341,36.268,0.27537,2.5707,0.073171,7.5854,0.12195,0.073171,13.902,5.67,11.55,2.45,31,24,72.074,0
91.69,23,2.46,0.33,1.5,4.02,2.3265,1.2383,215,2.32,55,50,611,20,0.9,0.162,0.885,0.9,43.3,0.027,0.158,0.658,0.064,0.192,85,0,85,85,0,2917,146,0,0.32831,1140,31.422,743.61,2.5783,139.89,1082.1,0.091,0.076,0.147,0,28,14,6
85.73,52,0.36,0.12,0.35,13.45,0.8,12.65,14,0.39,16,7,105,1,0.12,0.103,1.097,0.4,7.5,0.091,0.025,0.292,0.1,0.074,5,0,5,5,0,38,2,0,0.01,0.3,0,23,0,0,0,0.009,0.013,0.04,0,252,48,0
51.56,295,30.05,18.5,0.91,0,0,0,18,2.46,20,184,243,50,7.09,0.093,0.01,28.8,0,0.065,0.163,4.331,0.593,0.296,9,0,9,9,1.99,0,0,0,0.52,1.8,0,0,0,0,0,7.337,7.969,0.684,76,257,85,26
53.2,222,6.1,9.2,2.5,29,2.2415,15.721,206,1.72,16,151,138,412,0.54,0.055,0.237,14,2.2,0.195,0.272,1.524,0.395,0.049,36,24,12,53,0.2,199,50,48,0.27537,2.5707,0.073171,7.5854,0.12195,0.073171,13.902,1.986,2.316,4.162,56,28.35,38,0
47.89,359,21.12,29.82,0.93,0,0,0,22,1.6,20,166,271,73,3.49,0.115,0.019,21.8,0,0.09,0.21,6.75,0.63,0.11,15,0,15,15,2.23,0,0,0,0.1,1.4088,0,0,0,0,0,12.77,12.52,2.17,97,255,85,28
89.4,32,2.6,0.7,1.8,5.5,1.1,4.4,81,1.3,38,76,606,14,0.23,0.17,0.553,0.9,69,0.08,0.26,1,0.242,0.247,80,0,80,80,0,6917,346,0,0.7,541.9,0,4150,0,0,12500,0.023,0.239,0.228,0,50,1,29
4.1,345,10.94,8.2,19.3,57.46,1.6841,3.7045,133,9.1,56,231,1050,7070,5.2,0.7,2.1,2.2023,22,0.17,0.22,4.55,0.7,0.6,53,0,53,53,23,5369,268,0,0.21432,0.93636,14.045,90.727,0.45455,1051.9,14.818,1.39,3.79,2.62,0,18.9,245.35,0
65.92,191,20.37,11.59,0.97,0,0,0,4,1.98,22,197,338,53,3.21,0.075,0.013,19.5,0,0.1,0.17,3.71,0.36,0.47,8,0,8,8,2.8,0,0,0,0.1782,0.5764,0,0.78652,0,0,0,4.59,5.02,0.44,63,28.35,453.6,6
52.08,273,21.77,16.17,1.26,8.72,0.3,0.20186,18,1.4,20,152,189,279,2.17,0.08,0.054,26.6,0,0.116,0.221,5.433,0.994,0.27,18,9,9,24,0.28,91,27,27,0.094419,0.52093,0.25581,1.8372,0.25581,1.4186,0,4.28,6.58,3.85,90,95,158,22
44,236,10.4,4.4,1.5,39.8,4.5,7.7,65,3.12,35,141,147,407,0.89,0.135,0.779,30,0,0.504,0.346,4.831,0.581,0.073,81,56,25,120,0,5,2,2,0.44,1.2,0,0,0,0,46,0.697,1.59,1.694,0,28.35,30,0
5.78,480,7.15,24.32,1.61,61.07,2.3,51.69,96,0.72,39.914,200.6,183.77,224,0.65971,0.32951,0.17126,3.1114,0.5,0.028114,0.084029,0.39677,0.14397,0.0638,15.686,0.6,7.3143,8.2,0.22571,174,23.943,23.571,0.71429,1.1943,0,3.4571,0.37143,0,2.7714,9.891,2.2347,0.84611,13,39,32.01,0
65.67,141,7.68,3.28,2.57,20.81,1.7,3.7045,16,1.7,36,159,297,750,0.99,0.275,0.5,7.4,1.1,0.11,0.056,1.098,0.2,0.05,2,0,2,2,0.2,331,17,0,0.21432,0.93636,14.045,90.727,0.45455,1051.9,14.818,1.31,1.34,0.47,6,269,326,0
85.35,59,1.42,0.19,0.16,12.87,0.3,0.1,3,0.6,5,11,21,223,0.07,0.018,0.018,3.1,0,0.083,0.055,0.722,0.078,0.021,33,32,1,56,0,0,0,0,0.02,0,0,0,0,0,1,0.025,0.048,0.083,0,242,182,0
52.73,257,2.21,17.4,2.26,25.41,3.2,0.12,18,0.75,21,107,391,546,0.34,0.086,0.166,10.969,3,0.116,0.025,2.25,0.438,0.25,38,9.7692,38,27.231,0.41115,0,0,21.308,1.82,2.1115,0,0,0.11538,10.577,3.9615,3.101,7.436,4.157,0,53,76.179,0
69.5,168,20.18,9.09,0.88,0,0,0.20186,15,1.6,22,175,263,61,2.14,0.109,0.022,24.2,0,0.06,0.158,3.849,0.804,0.41,8,0,8,8,0.4,4,1,1,0.094419,0.52093,0.25581,1.8372,0.25581,1.4186,0,2.56,3.3,2.25,63,327,2052,22
73.88,101,1.98,0.2,0.75,23.19,1.7,5.45,30,1.33,24,52,210,75,0.21,0.278,0.988,0.8,5.2,0.027,0.09,0.955,0.512,0.235,11,0,11,11,0,8699,435,0,1.09,2.4,0,5219,0,0,0,0.041,0.008,0.084,0,255,496,0
55.53,265,25.01,17.54,1.35,0,0,0,8,2.88,25,196,342,66,4.76,0.129,0.015,22.3,0,0.1,0.22,4.2,0.31,0.35,7,0,7,7,2.18,0,0,0,0.1782,0.5764,0,0.78652,0,0,0,6.91,7.6,0.66,57,364,85,2
55.91,238,32.48,10.97,1.45,0,0,0,11,3.9,33,267,465,77,6.4,0.149,0.019,23.6,0,0.14,0.33,4.3,0.43,0.5,10,0,10,10,3.69,0,0,0,0.14,1.7,0,0,0,0,0,4.02,4.43,1.51,99,247,85,21
88.53,50,1.45,1.98,1.33,6.71,1,0.58,24,1.03,17,35,278,258,0.19,0.102,0.166,2.2023,7.1,0.055,0.036,1.06,0.266,0.145,8,0,8,8,0,411,26.227,7.7045,0.21432,0.93636,14.045,90.727,0.45455,1051.9,14.818,0.29,0.56,0.941,0,3855,30,0
91.56,30,0.55,0.1,0.29,7.5,1.1,13.673,15,0.12,8,9,127,0,0.07,0.044,0.01,1.4,37,0.04,0.02,0.2,0.283,0.042,9,0,9,9,0,259,13,0,0.22943,1.8943,11.571,41.4,10.829,0,45.429,0.014,0.013,0.024,0,230,123,49
74.86,151,11.67,10.53,1.46,1.48,0,0,9,2.3,12,335,244,108,1.09,0.23,0.028,21.8,10.5,0.069,0.217,3.62,1.21,0.143,5,0,5,5,10.1,117,6,0,1.67,0.1,0,70,0,0,0,2.394,1.882,1.632,3100,391,85,0
93.43,22,0.62,0.48,0.97,4.5,2.8,1.2383,13,0.22,12,29,173,237,0.31,0.11,0.169,0.3,8,0.026,0.04,0.42,0.408,0.118,18,0,18,18,0,47,2,0,0.32831,51.684,31.422,743.61,2.5783,139.89,1082.1,0.086,0.24882,0.23428,0,160,102.86,0
2.48,515,9.57,26.13,1.44,60.48,3.7,50.75,102,1.16,69,190,347,50,1.76,0.505,0.664,4.1,0,0.063,0.106,3.362,0.627,0.09,55,0,55,55,0.32,80,22,22,2.85,3,0,0,0,0,0,10.169,8.086,3.456,8,54.4,18,0
83.23,65,2.86,0.15,0.67,13.09,4.4,3.16,25,0.82,22,51,169,35,0.49,0.083,0.379,0.3,3.2,0.071,0.12,0.851,0.151,0.074,19,0,19,19,0,4277,214,0,0.44,16,968,2082,0,0,637,0.031,0.01,0.072,0,275,91,0
90.27,31,1.82,0.12,0.66,7.13,3.4,1.4,37,1.04,25,38,209,6,0.24,0.069,0.214,0.6,16.3,0.084,0.105,0.752,0.094,0.074,37,0,37,37,0,690,35,0,0.41,14.4,69,379,0,0,640,0.026,0.005,0.059,0,110,55,12
74.23,124,21.5,3.57,1,0,0,0,6,2.36,22,193,356,64,4.83,0.09,0.013989,30,0,0.131,0.212,3.772,0.42943,0.445,8,0,8,8,3.52,0,0,0,0.12,0.5764,0,0,0,0,0,1.24,1.35,0.27,58,453.6,28.35,12
67.78,196,18.11,13.11,0.79,0,0,0.20186,17,1.63,18,157,236,66,2.67,0.127,0.02,26.4,0,0.065,0.183,2.682,0.917,0.29,9,0,9,9,0.36,10,3,3,0.094419,0.52093,0.25581,1.8372,0.25581,1.4186,0,3.66,4.94,3.23,74,361,47,40
3.8,414,3.9,7.6,2.2,82.5,2.2415,45.7,186,2.3827,25.902,141.29,156.9,618,0.59122,0.12807,0.47641,9.122,0.16585,0.23193,0.23044,2.4087,0.26676,0.11463,51.732,28.22,12.317,60.317,0.10049,191.07,37.341,36.268,0.27537,2.5707,0.073171,7.5854,0.12195,0.073171,13.902,2.26,5.3301,2.4011,16.829,43,72.074,0
4,399,5.15,14.09,11.53,65.23,3.3,9.58,114,0.58,10.182,54.091,144.57,4051,0.55386,0.10955,0.19543,2.2023,0.8,0.077,0.15,1.495,0.19043,0.082182,0,0,0,0,0.77568,6,26.227,7.7045,0.21432,0.93636,14.045,90.727,0.45455,1051.9,14.818,2.083,1.0558,0.64377,4,15,245.35,0
55.49,211,36.16,6.33,1.95,0,0,0,8,1.32,29,249,383,67,3.96,0.14,0.039,15.4,0,0.06,0.35,10.56,1.02,0.36,18,0,18,18,1.17,0,0,0,0.49,7,0,0,0,0,0,2.53,2.36,0.47,134,272,85,0
14.5,436,4.2,20.7,1.5,59,0.7,21.56,81,1.65,7,169,147,422,0.24,0.037,0.308,3.1,0,0.205,0.122,2.412,0.246,0.019,63,55,8,102,0.02,37,11,11,0.19,8.8,0,0,0,0,8,5.265,11.761,2.62,29,17,26,0
94.64,16,1.21,0.18,0.62,3.35,1.1,2.2,15,0.35,17,38,262,2,0.29,0.051,0.175,0.2,17,0.048,0.142,0.487,0.155,0.218,29,0,29,29,0,200,10,0,0.12,3,0,120,0,0,2125,0.044,0.016,0.089,0,113,323,5
69.57,108,3.32,1.28,0.72,25.11,2.8,3.17,2,0.61,32,103,249,17,0.48,0.053,0.194,0.2,6.2,0.215,0.072,1.614,0.878,0.06,46,0,46,46,0,263,13,0,0.09,0.4,23,66,161,0,967,0.197,0.374,0.603,0,89,103,45
55.2,233,11.58,12.85,2.1,18.27,0.97692,4.3831,118,1.72,17,140,149,634,1.7,0.08,0.19,13.3,1.5,0.21,0.15,4.14,0.22,0.1,42,28,14,62,0.8,280,22.731,21.308,0.33462,2.1115,0,8.3462,0.11538,10.577,3.9615,5.966,4.654,0.955,34,154,76.179,0
6.6,333,56.8,0.1,7.1,4.9,0,0.1,21,1.17,39.914,1361,18,2282,0.65971,0.32951,0.17126,3.1114,0,0.028114,0.084029,0.39677,0.14397,0.0638,15.686,0.6,7.3143,8.2,0.22571,0,23.943,23.571,0.71429,1.1943,0,3.4571,0.37143,0,2.7714,0,2.2347,0.84611,1,2.5,32.01,0
2.18,455,10.6,18.83,1.93,66.43,7.3,26.16,119,2.58,111,343,495,48,2.36,0.69,2.45,1.8,0.5,0.32,0.27,2.01,0.83,0.18,36,0,36,36,0.25,11,1,0,2.15,3.4,0,1,0,0,0,8.25,4.47,1.89,2,51,20.021,0
63.3,189,28.61,7.39,1,0,0,0.20186,21,1.41,27,210,289,67,2.1,0.048,0.019,30.2,0,0.061,0.134,6.048,0.644,0.49,6,0,6,6,0.36,0,0,0,0.094419,0.52093,0.25581,1.8372,0.25581,1.4186,0,2.08,2.51,1.79,75,115,1329,8
94.31,15,1.35,0.05,1.01,3.28,2,1.12,164,0.5,47,16,195,20,0.21,0.049,0.408,0.7,5.3,0.011,0.04,0.296,0.15,0.067,3,0,3,3,0,443,22,0,0,5.1,47,242,0,0,0,0.006,0.007,0.021,0,149,29,0
61.96,204,2.22,13.21,0.75,21.86,1.7,1.2383,20,0.96,34,93,473,43,0.55,0.241,0.226,1.2,10.4,0.052,0.135,1.448,0.732,0.377,12,0,12,12,0,188,9,0,0.32831,51.684,31.422,743.61,2.5783,139.89,1082.1,3.313,5.824,3.474,0,128.95,102.86,0
78.76,83,0.2,0.07,0.24,20.73,1.9,13.673,3,0.31,3,8,98,19,0.04,0.042,0.02,0.38571,0.9,0.006,0.018,0.121,0.054,0.047,0,0,0,0,0,16,1,0,0.22943,1.8943,11.571,41.4,10.829,0,45.429,0.011,0.003,0.02,0,280,71.226,0
69.13,165,21.51,8.1,0.9,0,0,0.20186,13,1.41,24,180,267,55,1.54,0.081,0.021,22.3,0,0.053,0.123,4.938,0.616,0.48,7,0,7,7,0.42,5,2,2,0.094419,0.52093,0.25581,1.8372,0.25581,1.4186,0,2.19,3.1,1.91,62,175,1099,16
3,229,19.6,13.7,5.8,54.3,33.2,1.75,128,13.86,499,734,1524,21,6.81,3.788,3.837,14.3,0,0.078,0.241,2.185,0.254,0.118,32,0,32,32,0,0,0,0,0.1,2.5,0,0,0,0,38,8.07,4.57,0.44,0,86,5.4,0
47.35,339,23.61,26.38,1.16,0,0,0,9,3.06,26,232,400,65,3.97,0.121,0.016,23.1,0,0.15,0.27,3.83,0.39,0.47,8,0,8,8,3.33,0,0,0,0.1782,0.5764,0,0.78652,0,0,0,10.42,10.94,1,86,329,85,2
41.36,417,25.49,34.13,0.85,0,0,0,13,2.97,18,191,223,63,7.85,0.131,0.015,24.1,0,0.069,0.231,2.362,0.297,0.25,5,0,5,5,2.23,0,0,0,0.1782,0.5764,0,0.78652,0,0,0,14.2,15.36,1.24,103,247,85,24
90.27,31,1.82,0.12,0.66,7.14,3.4,1.2383,37,1.04,25,38,209,6,0.24,0.069,0.214,0.6,16.3,0.084,0.105,0.752,0.094,0.074,37,0,37,37,0,108,5,0,0.32831,51.684,31.422,743.61,2.5783,139.89,1082.1,0.026,0.005,0.059,0,110,102.86,12
95,16,1.03,0.17,0.5,3.3,1.9,1.4,15,0.33,19,28,140,1,0.24,0.083,0.128,0.2,10.8,0.051,0.025,0.464,0.079,0.085,21,0,21,21,0,85,4,0,0.12,3.5,0,51,0,0,250,0.035,0.013,0.072,0,240,180,0
94.64,16,1.21,0.18,0.62,3.35,1.1,1.73,15,0.35,17,38,262,10,0.29,0.051,0.175,0.2,17,0.048,0.142,0.487,0.155,0.218,29,0,29,29,0,200,10,0,0.12,4.3,0,120,0,0,2125,0.037,0.014,0.076,0,124,113,5
41.67,320,12.42,20.1,2.83,22.97,0.7,1.88,109,2.04,14,319,160,868,1.07,0.052,0.177,24.7,1.6,0.237,0.36,1.783,0.82,0.07,27.385,11,62,80,0.73,406,22.731,21.308,0.33462,2.1115,0,8.3462,0.11538,10.577,3.9615,7.717,9.806,2.428,175,144,76.179,0
55.69,267,24.47,17.98,1.29,0,0,0,7,2.91,22,191,330,65,4.51,0.128,0.015,19.6,0,0.098,0.226,4.171,0.312,0.361,7,0,7,7,2.17,0,0,0,0.19,0.5764,0,0,0,0,0,7.04,7.739,0.711,64,85,453.6,20
92.15,24,2.72,0.41,0.83,3.89,2,1.2383,86,1.18,20,27,460,238,0.21,0.14,0.371,0.9,35.5,0.139,0.38,1.267,0.044,0.072,48,0,48,48,0,4238,212,0,0.32831,51.684,31.422,743.61,2.5783,139.89,1082.1,0.083,0.033,0.168,0,145,102.86,0
3.34,328,10,4,18,64.66,4.8,3.26,230,1,34,203,262,6580,1.54,0.535,0.4,5.3,7,0.2,0.4,3.7,0.1,0.1,31,17,14,43,0.7,1,0,0,0.15,0.2,0,1,0,0,9,2.36,1.31,0.14,3,21.3,245.35,0
91.62,28,0.8,0.07,0.94,6.57,1.2,5.38,13,0.63,16,16,142,21,0.23,0.097,0.241,0.5,2.8,0.01,0.038,0.151,0.15,0.055,29,0,29,29,0,22,1,0,0.03,0.1,0,13,0,0,0,0.011,0.013,0.025,0,246,102.86,0
72.05,150,20.74,6.85,0.96,0,0,0,5,1.94,24,214,365,54,5.15,0.077,0.011,30.6,0,0.073,0.176,4.895,0.711,0.526,11,0,11,11,4.04,0,0,0,0.21,0,0,0,0,0,0,2.3,2.497,0.321,58,208.63,201.4,0
3,492,4.9,22.6,1.2,68.2,1.7,15.721,28,2.5,27,76,200,232,0.56,0.2,0.473,5.6,0,0.166,0.191,1.975,0.18,0.005,44,37,7,70,0.07,59,18,18,0.27537,2.5707,0.073171,7.5854,0.12195,0.073171,13.902,7.759,11.258,2.319,27,28.35,12,0
79.99,115,0.84,10.68,2.23,6.26,3.2,0,88,3.3,4,3,8,872,0.22,0.251,0.02,0.9,0.9,0.003,0,0.037,0.015,0.009,0,0,0,0,0,403,20,0,1.65,1.4,0,237,9,0,510,1.415,7.888,0.911,0,8.4,4.4,0
19.21,283,4.08,0.27,2.36,74.08,6.8,67.28,86,3.26,41,125,892,8,0.66,0.468,0.469,0.7,4.7,0.16,0.142,1.615,0.045,0.296,10,0,10,10,0,73,4,0,0.11,3.3,1,43,1,0,0,0.028,0.047,0.18,0,144,71.226,0
75.53,89,1.15,0.13,0.83,22.36,2.1,20.26,12,0.35,10,16,199,1,0.04,0.024,0.109,0,1,0.027,0.047,0.177,0.127,0.036,4,0,4,4,0,189,9,0,0.07,2.1,0,113,0,0,85,0.03,0.036,0.04,0,259,284,0
70.62,144,20.78,6.16,1.02,0,0,0,6,2.13,22,199,356,63,4.33,0.079,0.013,18.3,0,0.11,0.18,3.59,0.36,0.44,7,0,7,7,3.25,0,0,0,0.13,1.2,0,0,0,0,0,2.32,2.61,0.24,59,28.35,453.6,29
76.27,96,2.02,1.11,1.14,19.45,1.8,8.78,141,2.5,21,70,76,144,0.47,0.061,0.636,4.4,0.2,0.186,0.223,2.637,0.114,0.278,56,50,6,90,0,694,208,208,0.1,0.6,0,0,0,0,0,0.19,0.384,0.321,0,159,20.021,0
74.61,108,24.18,0.49,0.98,0,0,0.20186,10,1.22,26,196,276,52,1.39,0.118,0.02,24.4,0,0.039,0.119,5.751,0.705,0.57,8,0,8,8,0.46,0,0,0,0.094419,0.52093,0.25581,1.8372,0.25581,1.4186,0,0.16,0.09,0.13,66,136,481,31
2.56,373,6.05,1.61,4.25,85.55,2.5,11,3333,60,26,366,94,698,50,0,0.096,5.1,200,5,5.67,66.7,33,6.67,1333,1314,19,2253,20,1426,389,381,45,0.2,46,70,0,0,977,0.4,0.214,0.368,0,30,20.021,0
66.52,211,17.42,15.2,1.16,0,0,0.20186,5,4.16,20,168,249,56,0.77,0.312,0.019,12.8,5.2,0.351,0.269,3.317,0.701,0.53,21,0,21,21,0.65,88,26,26,0.094419,0.52093,0.25581,1.8372,0.25581,1.4186,0,5.04,6.8,2.02,80,239,270,40
53.78,246,7.59,13.65,1.88,23.09,4.1,4.3831,73,2.14,46,197,242,430,1.36,0.116,0.27,6.7,9.9308,0.101,0.143,0.984,0.253,0.173,29,1,28,29,0.39,70,4,21.308,0.73,6.4,0,42,0,10.577,3.9615,3.984,7.022,1.432,19,195,76.179,0
75.31,137,19.56,5.92,0.92,0,0,0,17,1.04,22,151,204,82,1.85,0.06,0.021,13.5,0,0.074,0.164,6.672,1.224,0.33,9,0,9,9,0.36,99,30,30,0.22,2.4,0,0,0,0,0,1.52,1.84,1.47,81,31,51,71
72.72,137,20.98,5.21,0.92,0,0,0,5,2.01,24,216,360,53,5.65,0.068,0.011,28.8,0,0.067,0.201,5.24,0.776,0.527,11,0,11,11,5.39,0,0,0,0.2,0,0,0,0,0,0,1.89,2.014,0.295,59,203.05,201.4,0
67.7,116,0.5,0.3,3.4,26.1,0.9,21.7,15,0.62,10.182,9,81,1248,0.55386,0.10955,0.19543,2.2023,0.2,0.10925,0.090886,1.1601,0.19043,0.082182,14.864,6.6818,6.7045,18.114,0.77568,336,26.227,7.7045,0.21432,0.93636,14.045,90.727,0.45455,1051.9,14.818,0,1.0558,0.64377,0,34,245.35,0
6.1,443,2.5,17.3,1.1,73,1,51.9,76,0.34,25,85,163,203,0.88,0.185,0.172,2.4,0.7,0.058,0.119,0.195,0.182,0.016,5,0,5,5,0.24,127,35,35,0.97,6.2,0,4,0,0,0,11.9,3.203,0.775,13,42.5,21,0
57.53,240,25.17,14.65,1.23,0,0,0,9,2.57,23,217,372,72,6.28,0.09,0.015,21.9,0,0.08,0.19,3.18,0.41,0.26,7,0,7,7,3.31,0,0,0,0.1782,0.5764,0,0.78652,0,0,0,5.98,5.93,0.55,76,191,85,46
22.3,277,3.8,1.2,2,70.7,4.6,66.1,33,1.7,42,181,1110,3,0.28,0.631,0.234,1.3,183,0.01,0.57,3.1,0.171,0.09,12,0,12,12,0,0,0,0,0.31,1.6,0,0,0,0,0,0.27,0.328,0.361,0,2.5,71.226,46
56.59,222,31.84,8.87,1.06,1.64,0.1,0.20186,16,1.19,30,233,259,76,1.1,0.057,0.026,23.9,0,0.082,0.131,13.742,1.001,0.58,6,2,4,7,0.34,50,15,15,0.094419,0.52093,0.25581,1.8372,0.25581,1.4186,0,2.45,3.5,1.96,89,59,98,17
70.73,155,21.22,7.17,1,0,0,0,25,1.55,22,195,328,54,3.7,0.072,0.012,23.9,0,0.066,0.102,6.257,0.61,0.579,11,0,11,11,1.09,0,0,0,0.31,1.2,0,0,0,0,0,2.978,2.924,0.277,35,182.68,201.4,0
89.9,41,1.5,1.3,1.6,5.69,1.6841,3.7045,45.477,1.9136,10.182,54.091,144.57,586,0.55386,0.10955,0.19543,2.2023,5.5,0.10925,0.090886,1.1601,0.19043,0.082182,14.864,6.6818,6.7045,18.114,0.77568,535.73,26.227,7.7045,0.21432,0.93636,14.045,90.727,0.45455,1051.9,14.818,0.54,0.46,0.062,4,60,245.35,0
73.4,117,2.9,3.5,1.2,19.1,0.1,31.829,100,0.15,14,200,129,246,0.33,0.026,0.019,2,0.8,0.033,0.136,0.084,0.266,0.037,4,0,4,4,0.3,105,24,23,0.71429,1.1943,0,15,0.37143,0,2.7714,2.1,0.96,0.24,11,147,587,0
64.67,188,26.79,8.21,1.11,0,0,0,6,2.18,17,166,217,35,4.49,0.064,0.009,27.4,0,0.062,0.143,4.682,0.528,0.352,8,0,8,8,1.49,0,0,0,0.38,1.3,0,0,0,0,0,3.007,3.405,0.305,93,330,85,4
92.99,28,1.6,0.82,1.06,3.54,0.3,3.7045,5,0.39,2,20,31,334,0.24,0.051,0.103,4.4,0.1,0.03,0.026,0.572,0.07,0.015,8,7,1,13,0.06,120,6,0,0.21432,0.93636,14.045,90.727,0.45455,1051.9,14.818,0.23,0.33,0.2,2,244,30.5,0
48.22,225,5.33,5.17,1.98,39.29,2.4,9.73,71,2.19,14,293,124,505,0.38,0.054,0.156,5.6,0.3,0.344,0.51,2.91,0.15,0.148,71,57,14,111,0.09,216,64,64,0.28,6.5,0,1,0,0,20,0.81,1.891,1.081,18,40.56,73,0
